TITLE;AUTHORS
A Novel Evolutionary Data Mining Algorithm With Applications to Churn Prediction  ;Wai-ho Au, Keith C. C. Chan,  Xin Yao 
Negotiable Interfaces for Components;Simon D. Kent  Chris Ho-Stuart Paul Roe
Laszlo Szirmay-Kalos, Gyorgy Antal and Mateu Sbert;Department Of Control Mateu Sbert
Building Constraint Solvers with HAL;Mar�a Garc�a de la Banda, David Jeffery Kim Marriott, Nicholas Nethercote Peter J. Stuckey Christian Holzbaur
Incremental Dynamic Impact Analysis for Evolving Software Systems;James Law
A MOS Transistor Model for Peak Voltage Calculation of Crosstalk Noise;Patricia Renault Pirouz Patricia Renault Pirouz Bazargan-sabet Dominique Le D�
Trusted Collaborative Real Time Scheduling in a Smart Card Exokernel;Smart Card Exokernel  Christophe Rippert Card Exokernel Damien Deville Damien Deville  Gilles Grimaud Gilles Grimaud Th�me R�seaux Et Syst�mes
HOPPSIGEN: a database dedicated to comparative analysis of homologous;Khelifi Adel Mouchiroud Khelifi Adel Mouchiroud Dominique
Comparison of Declarative and Interrogative Intonation in Chinese;Jiahong Yuan Chilin
Assume-Guarantee Model Checking;Cormac Flanagan Shaz Qadeer
Firefighter Training Virtual Environment;Tazama U St Julien Chris D. Shaw
Bayesian Model Assessment In Factor Analysis;Hedibert Freitas Lopes Mike West
Resource Control for Elastic Traffic in CDMA Networks;Vasilios Siris
Improving Evolutionary Learning of Cooperative Behavior by Including Accountability of Strategy Components;J�rg Denzinger Sean Ennis
Encoding Syntactic Annotation;Nancy Ide Laurent Romary
Vision-based Monitoring of Intersections;Harini Veeraraghavan Osama Masoud Nikolaos Papanikolopoulos
Geometry-based Muscle Modeling for Facial Animation;Kolja K�hler J�rg Haber Hans-Peter Seidel
The TELRI tool catalogue: structure and prospects;Tomaz Erjavec   Tam�s V�radi
Semantics-Driven Language Design: Statically Type-Safe Virtual Types in Object-Oriented Languages;Kim B. Bruce Joseph C. Vanderwaart
Analyzing XFIG with GUPRO;Volker Riediger
Adult Age Differences in Regional Cerebral Blood Flow during Visual Word Identification:  Evidence from . . . ;David J. Madden Timothy G. Turkington R. Edward Coleman James M. Provenzale Timothy R. Degrado John M. Hoffman
Parallel Genetic Algorithms with Distributed-Environment Multiple Population Scheme;M. Miki T. Hiroyasu  K. Hatanaka
Intervals with few Prime Numbers;Dan Wolczuk  
A Pay-per-Use DoS Protection Mechanism for the Web;Angelos Stavrou John Ioannidis Angelos D. Keromytis Vishal Misra  Dan Rubenstein
A Parameterized Type System for Race-Free Java Programs     ;  Chandrasekhar Boyapati Martin Rinard 
Lemur -- A Tool for Timbre Manipulation;Kelly Fitz Lippold Haken Bryan Holloway
Acquisition of Bilingual MT Lexicons from OCRed Dictionaries;Burcu Karagol-ayan David Doermann Bonnie J. Dorr
 Symplectic Structure of the Painleve Test;Jishan Hu Min Yan
A Comprehensive High-level Synthesis System for Control-Flow Intensive Behaviors;W. Wang T. K. Tan J. Luo Y. Fei L. Shang K. S. Vallerio L. Zhong A. Raghunathan N. K. Jha
On-Line Eeg Classification And Sleep Spindles;Detection Using An R. R. Gharieb A. Cichocki
A Model-based Reasoning Approach to Circumscription;Peter Fr�hlich Wolfgang Nejdl
PAPR Reduction of OFDM Signal Using Turbo Coding and Selective Mapping;Abdulla Abouda
A Two-Phase Path-Relinking Algorithm for the Generalized Assignment Problem;Laurent Alfandari, et al.
Global Constraints by Composition: Lexicographic Ordering with Sums;Brahim Hnich Zeynep Kiziltan Toby Walsh
Boosting Precision and Recall of Dictionary-Based Protein Name Recognition;Yoshimasa Tsuruoka  Jun&aposichi Tsujii
Tejp: Ubiquitous Computing as Expressive Means of Personalising Public Space;Margot Jacobs  Lalya Gaye  Lars Erik Holmquist
Efficient Consistency Proofs for Generalized Queries on Committed Database;Rafail Ostrovsky Charles Rackoff  Adam Smith
Knowledge Enhanced e-Government Portal;Jan Paralic  Tomas Sabol Marian Mach
Qualitative Simulation of Genetic Regulatory Networks Using Piecewise-Linear Models;Hidde De Jong  Jean-Luc Gouze  Celine Hernandez Michel Page Tewfik Sari Johannes Geiselmann Cedex France
Combined Intrinsic-Extrinsic Cache Analysis for Preemptive Real-Time Systems;A. Marti Campoy A. Mart X. Molero A. Perles  F. Rodriguez J. V. Busquets
An Axiomatic Approach to Noncompensatory  Sorting Methods In MCDM, II: The general case;Denis Bouyssou Thierry Marchant
Remote Assistive Interpersonal Communication Exploiting Component Based Development;C. Viglas  C. Stamatis  G. Kouroupetroglou
Dynamic Relationships in Object Oriented Databases: A Uniform Approach;Awais Rashid  Peter Sawyer
Application of the Border Gateway Protocol in the Internet;Status Of This Request Comments D. Katz M. Mathis
Fast Path-Based Neural Branch Prediction;Daniel Jimenez Department
Space-time front-ends for RAKE receivers in the FDD mode of UTRA;Josep Vidal Margarita Cabrera  Adrian Agustin
Design Alternatives for Shared Memory Multiprocessors;John B. Carter Chen-Chi Kuo Ravindra Kuramkote Mark Swanson
Bernard PARANQUE Sylvie CIEPLY;Banque De France France Gate-lyon Observatoire Des Entreprises Monnaie Finance
RenderMan for Poets;Version February Larry Larry Gritz
Cell Search Procedure In S-Umts Networks;Carlo Caini Herman Herman Castellan Giovanni E. Corazza Ro Vanelli-coralli
Specification and Analysis of Timing Constraints for Embedded Systems;Rajesh K. Gupta  Giovanni De Micheli
Towards Data Warehouse Quality Metrics;Coral Calero Alarcos Coral Calero Carolina Pascual
Corrective Language Modeling For Large Vocabulary ASR With The Perceptron Algorithm;Brian Roark Murat Saraclar Michael Collins
System Sensitive Runtime Management of Dynamic Applications;Shweta Sinha
Network Working Group P. Mockapetris Request for Comments: 1035 ISI November 1987 Obsoletes: RFCs 882, 883, 973;Domain Names Implementation
History-based Access Control for Mobile Code;Guy Edjlali   Anurag Acharya Vipin Chaudhary
Restricted intersection type assignment systems and object properties;Ugo de&aposLiguoro
Speech Interfaces for Point-of-Care Guideline Systems;Martin Beveridge   John Fox David Milward
MFTV: A Zoomable Multifaceted Tree Viewer;Nizar Habash University Nizar Habash
Intelligent Software Agents;Implications For Marketing Michel Clement A Gunnar Rimmel B Matthias Runte C
Analysis of Test Application Time for Test Data Compression Methods Based on Compression Codes;Anshuman Chandra H. J. Wunderlich
Estimation of Distributed Hybrid Systems Using Particle Filtering Methods;Xenofon Koutsoukos James Kurien Feng Zhao
Multicarrier Equalization: Unification and Evaluation. Part II: Implementation Issues and Performance Comparisons;R. K. Martin M. Ding M. Milosevic B. L. Evans C. R. Johnson M. Moonen M. Moonen G. Ysebaert G. Ysebaert G. Ysebaert  K. Vanbleu K. Vanbleu K. Vanbleu
The Weighted 2-Server Problem;Marek Chrobak  Jiri Sgall
Playout Control for Streaming Applications by Statistical Delay Analysis;Kouhei Fujimoto Shingo Ata Masayuki Murata
Improving Object Classification in Far-Field Video;Biswajit Bose Eric Grimson
Some Applications of Bezoutians in Effective Algebraic Geometry;Mohamed Elkadi Bernard Mourrain
A Managed Bandwidth Reservation Protocol for Ad Hoc Networks;Claude Chaudet Olivier Festor Isabelle Gu�rin Lassous  Radu State
Non-Native Users in the Let&aposs Go!! Spoken Dialogue System: Dealing with Linguistic Mismatch;Antoine Raux  Maxine Eskenazi This Cmu
Fast Detection of Common Geometric Substructure in Proteins;L. Paul Chew  Dan Huttenlocher  Klara Kedem Jon Kleinberg
Improving the Orthogonal Range Search k-windows Algorithm;P. Alevizos D. Tasoulis
The Last Excluded Case of Dirac&aposs Map-Color Theorem for Choosability;Daniel Kral  Riste Skrekovski
Experimental Evaluation of an Adaptive Flash Crowd Protection System;Xuan Chen John Heidemann
Agent-Based Formation of Virtual Organisations;Timothy J. Norman  Alun Preece  Stuart Chalmers Nicholas R. Jennings Michael Luck Viet D. Dang Thuc D. Nguyen Vikas Deora Jianhua Shao W. Alex Gray  Nick J. Fiddian
A Complete Classification for Pairs of Real Analytic Curves in the Complex Plane with Tangential Intersection;Patrick Ahern Xianghong Gong
A Framework for Statistical Clustering with a Constant Time Approximation Algorithms for K-Median Clustering;Shai Ben-david
2002), �Are Voters Rational? Evidence from Gubernatorial Elections�, Stanford GSB Working Paper No;Justin Wolfers Justin Wolfers
Evolving the subspace of the three-dimensional multiscale ocean variability: Massachusetts Bay;P. F. J. Lermusiaux
Simple Max-Cut for Split-Indifference Graphs and Graphs with Few P4&aposs;Hans L. Bodlaender Celina M. H. De Figueiredo Marisa Gutierrez  Ton Kloks Rolf Niedermeier
A Test-Bed for Misbehavior Detection in Mobile Ad-hoc Networks - How Much Can Watchdogs Really Do?;Sonja Buchegger  Cedric Tissieres Jean-yves Le Boudec
Resolution of Type Mismatches in an Engineering Persistent Object System;Alok Mehta David L. Spooner Martin Hardwick
Distributed Real-Time Dataflow: An Execution Paradigm for Image Processing and Anti-Submarine Warfare Applications;Goddard Jeffay S. Goddard K. Jeffay
Efficient Algorithms for Isomorphisms of Simple Types;Yoav Zibin
Ternary Constant Weight Codes;Patric R. J. �sterg�rd Patric R. J. �sterg?ard  Mattias Svanstr�m
Initialization of Particle Filter and Posterior Cram�r-Rao Bound for Bearings-Only Tracking in Modified Polar Coordinate System ;Thomas Br�hard  Jean-Pierre Le Cadre
Online Hierarchical Cooperative Caching;Xiaozhou Li Greg C. Greg Plaxton Mitul Tiwari Arun Venkataramani
A COMPARISON OF IMPLIED STANDARD DEVIATIONS AND HISTORICAL ESTIMATES OF VOLATILITY DURING AND AFTER THE PARTICIPATION OF THE BRITISH POUND IN THE ERM ;Andrea M. P. Neves
Building topology-aware overlays using global soft-state;Zhichen Xu Chunqiang Tang Zheng Zhang
Fast Anisotropic Gauss Filtering;Jan-Mark Geusebroek Arnold Arnold W. M. Smeulders Joost Van De Weijer
Advanced Distributed Search for the Web;Rinat Khoussainov  Tadhg O&aposMeara Ahmed Patel
Extending OO Metamodels Towards Dynamic Object Roles;Andrzej Jodlowski Piotr Habela Jacek Plodzien Kazimierz Subieta
Using ARIMA Forecasts to Explore the Efficiency of the Forward Reichsmark Market: Austria-Hungary, 1876-1914 1 Corresponding author:;John Komlos John Komlos Marc Flandreau
Tele-Collaboration in Parallel Worlds;S. Kicha Ganapathy  Ashutosh Morde  Andres Agudelo
The National Basic Skills Survey Of Adults In England 2002-3: The Numeracy Survey To Date;John Gillespie John
A Polynomial-time Nash Equilibrium Algorithm for Repeated Games;Michael L. Littman Peter Stone
Bullet: High Bandwidth Data Dissemination Using an Overlay Mesh;Dejan Kostic Adolfo Rodriguez Jeannie Albrecht Amin Vahdat
Managing Scalability in Object Storage Systems for HPC Linux;Clusters Brent Welch Brent Welch Garth Gibson
Named Entity Recognition using Hundreds of Thousands of Features;James Mayfield And James Mayfield Paul Mcnamee Christine Piatko
Comparing implicit representations of large CTMCs;Gianfranco Ciardo Massimo Forno Paul L. E. Grieco Andrew S. Miner
Nowhere-Zero 3-Flows in Squares of Graphs;Rui Xu Cun-quan Zhang
Hazardous Waste Management In India;Babu And Ramakrishna B. V. Babu V. Ramakrishna
Constructing Small Sample Spaces Satisfying Given Constraints ;Daphne Koller Nimrod Megiddo 
A Lower Bound for Broadcasting in Mobile Ad Hoc Networks;Ravi Prakash Andre Ravi Prakash Andr� Schiper Mansoor Mohsin David Cavin Yoav Sasson
Electro-Static Potential between Two Conducting Cylinders via the Group Method Approach;M. B. Abd-el-malek  I. A. El-Awadi  S. M. A. El-Mansi
Disfluency Rates in Conversation: Effects of Age, Relationship, Topic, Role, and Gender;Heather Bortfeld  Silvia D. Leon  Jonathan E. Bloom  Michael F. Schober  Susan E. Brennan
Can You Save Time in Multiplying Polynomials By Encoding Them as Integers?;Richard J. Fateman
A New Theory for High-Radix Division in Hardware Two Direct Hardware: Two Direct, . . .;Vitit Kantabutra
A Closed-Form Solution to Non-Rigid Shape and Motion Recovery;Jing Xiao Jin-xiang Chai  Takeo Kanade
Reasoning with Characteristic Models;Henry A. Kautz Michael J. Kearns Bart Selman
?;Tus As Companies
The Prosody of Questions in Natural Discourse;Nancy Hedberg Juan
Low Power MAC Protocols for Infrastructure Wireless Sensor Networks;A. El-hoiydi  J.-D. Decotignie  J. Hernandez
On Cotree-Critical and DFS Cotree-Critical Graphs;Hubert de Fraysseix  Patrice Ossona de Mendez
The Implementation of a First-Order Logic AGM Belief Revision System;Simon Dixon And Simon Dixon Wayne Wobcke
Properties of the Transformation Semigroupof the Solitaire Stream Cipher Boris Pogorelov 1;Marina Pudovkina Institute Boris Pogorelov
Kinetic Models for Chemotaxis and their Drift-Diffusion Limits;Fabio A. C. C. Chalub Peter Markowich  Benoit Perthame Christian Schmeiser
Approximating Minimum Unsatisfiability Of Linear Equations;Piotr Berman  Marek Karpinski
Learning Semantic Lexicons from a Part-of-Speech and Semantically Tagged Corpus using Inductive Logic Programming;Vincent Claveau  Pascale S�billot  C�cile Fabre Pierrette Bouillon James Cussens Alan M. Frisch
Wind Estimation -- The Studies Made At Funceme;Sakamoto And Laurent M. S. Sakamoto H. Laurent
Organizational Multi-Agent Architectures:;Mobile Robot Example Manuel Kolp Paolo Giorgini
Dyson. 2002.;Revmexaa Serie De S. Lizano D. Galli
Comparative Evaluation of Approaches to Propositionalization;M.-A. Krogel S. Rawles  F. Zelezny P. A. Flach  N. Lavrac  S. Wrobel
Trust-Preserving Set Operations;Ruggero Morselli   Bobby Bhattacharjee Jonathan Katz Pete Keleher
Input-based Language Modelling in the Design of High Performance Text Input Techniques;R. William Soukoreff  I. Scott MacKenzie
Program Slicing for Refactoring;Mathieu Verbaere Lady Lady Margaret Hall
Symmetry Breaking in Soft CSPs;Stefano Bistarelli Jerome Kelleher Barry O&aposSullivan
A Unified Theory of Shared Memory Consistency;Robert C. Steinke Gary J. Nutt
Joint Source-Channel Coding And Power Allocation For Energy Efficient Wireless Video Communications;F. Zhai Y. Eisenberg R. Berry A. K. Katsaggelos, et al.
AVM Description Compilation Using Types as Modes;Gerald Penn
CLAMP: A System to Enhance the Performance of;Wireless Access Networks Lachlan L. H. Andrew Stephen V. Hanly Rami G. Mukhtar
Rewriting-based Techniques for Runtime Verification;Grigore Rosu Klaus Havelund
An Overcomplete Discrete Wavelet Transform For Video Compression;Nicu Sebe Claudiu
Transforming existing content into reusable Learning Objects;Monique Doorten Bas Bas Giesbers Jos� Janssen Jan Daniels Rob Koper
A New Approach to Construct Multicast Trees in MPLS Networks;Ali Boudani Bernard Cousin
SYNTHETIC APERTURE RADAR FOR COASTAL EROSION MAPPING AND LAND-USE ASSESSMENT IN THE MOIST TROPICS: BRAGANA COASTAL PLAIN CASE STUDY ;Pedro Walfir M. Souza Filho Waldir Renato Paradella
TACOS: A Testability Allocation and Control System;Laurent Ducerf-bourbon Peter Bukovjan  Meryem Marzouki
Spectroscopy of Private DNS Update Sources;Andre Broido Evi Nemeth  kc claffy
Real Time and Estelle: A Comparison of Approaches;Stefan Fischer University Stefan Fischer
Design Galleries: A General Approach to Setting Parameters for Computer Graphics and Animation;J. Marks B. Andalman P. A. Beardsley  W. Freeman S. Gibson J. Hodgins T. Kang B. Mirtich W. Ruml K. Ryall J. Seims S. Shieber
ESC/Java2: Uniting ESC/Java and JML - Progress and issues in building and using ESC/Java2;David R. Cok Joseph R. Kiniry
Standardization Of The Selectable Mode Vocoder;Craig Greer Andrew
Damage Diagnosis Using Time Series Analysis Of . . .;Sohn Hoon Sohn Charles R Farrar
Designing and Evaluating Technology for Independent Aging in the Home;Stephen Intille Kent Kent Larson Emmanuel Munguia Tapia
From Machine Scheduling to VLIW Instruction Scheduling;Benot Dupont De Dinechin  
Approximating the Two-Level Facility Location Problem Via a Quasi-Greedy Approach ;Jiawei Zhang
A Cooperative Immunization System for an Untrusting Internet;Kostas Anagnostakis Michael Michael B. Greenwald Sotiris Ioannidis Angelos D. Keromytis Dekai Li
Adaptive, Optimal-Recovery Image Interpolation;Darian Muresan And
Bayesian Modeling of Facial Similarity;Baback Moghaddam Tony Jebara  Alex Pentland
Modelling Uncertainty in Physical Database Design;Sunil Choenni Henk Blanken
Contribution to Pointing Mortar Durability;Maurenbrecher Suter Trischuk A. H. P. Suter K. Fontaine A H P Maurenbrecher G T Suter K Trischuk L Fontaine
Calibration of Microphone Arrays for Improved Speech Recognition;Michael L. Seltzer Michael L. Seltzer Bhiksha Raj Bhiksha Raj
Developmentofa Distributed Min/Max Component;Max Fuchs Ketil Max Fuchs Ketil Stlen
The Complexity of Node Counting on Undirected Graphs;Boleslaw Szymanski Sven Koenig
User-level Management of Kernel Memory;Andreas Haeberlen Kevin Elphinstone
Land Cover Mapping by . . . ;Donnalouise C�cilia Watts
Characterizing the Interaction Between Routing and MAC Protocols in Ad-hoc Networks;Chris Barrett Christopher L. Barrett  Martin Drozda Martin Drozda Achla Marathe Achla Marathe  Madhav Marathe Madhav V. Marathe
Consumer Search Costs and Market Performance;Douglas Davis And Douglas D. Davis Charles A. Holt
Intragestural Dynamics Of Multiple Prosodic Boundaries;Dani Byrd Elliot Saltzman
Fifth Workshop on Computer Architecture Evaluation using Commercial Workloads Cambridge, Massachusetts February 2, 2002 Immediately precedes the;Eighth International Symposium Kimberly Keeton Hewlett-packard Laboratories Michel Dubois Jaeheon Jeong Shahin Razeghia Mahsa Rouhaniz Ashwini N Harold W. Cain Kevin M. Lepak On A. Schwartz Mikko H. Lipasti Shubhendu S. Mukherjee Alaa R. Alameldeen Pacia J. Harper Milo M. K. Martin Carl J. Mauer Daniel J. Sorin Min Xu Mark D. Hill David A. Wood Lieven Eeckhout Hans V Koen De Bosschere Haiyong Xie Laxmi Bhuyan Yeim-kuan Chang Krishna Kant Ravi Iyer Bret Olszewski Octavian F. Herescu
Characterization of the Memory Hierarchy;Locality Effects And
Integrating Vision Based Behaviors with an Autonomous Robot;Christian Schlegel J�rg Illmann  Heiko Jaberg Matthias Schuster Robert W�rz
A New Basis for Multi-Paradigm Design;Valentino Vrani?
Local Loop Unbundling in the Italian Network;Stefano Bregni Politecnico Di Milano Riccardo Melen Universit� Degli Studi Dell�insubria
Capacity Analysis of Base Station Diversity;Herman Y. Kanalebe
A Moving Average Predictor for Playout Delay Control in VoIP;V�ctor M. Ramos Chadi Barakat Eitan Altman
The RTT distribution of TCP flows in the Internet and its impact on TCP-based flow control ;Srinivas Shakkottai R. Srikant Nevil Brownlee Andre Broido kc claffy
Orientation on Tabletop Displays;G. Daryn Mitchell
;
Within a context of interacting with documents on tabletop displays, requirements for orientation control were found by examining literature on how people use paper documents and what manipulations they perform. It was determined that control must provide quick, either-handed, low-attention manipulation of individual objects on the display. An evaluation of existing interaction techniques for rotation was performed in light of these criteria. The trade-off between two desirable characteristics, integral translation and rotation, and direct input, was examined. An evaluation of mouse-based techniques confirmed that integral input has the potential to be faster than the established sequential-manipulation techniques due to the time saved by overlapping manipulation of different degrees of freedom. For a single task combining translation and rotation the separable technique took twice as long compared to two separate tasks of the same translation or rotation, whereas the integral techniques took less time for the combined action than the two separate actions. However, the integral mouse-based techniques were too slow in their actual manipulation, with the scroll wheel taking four times as long to rotate than the separable technique, and the new drag technique not being used in an integral manner. It was concluded that the current generally available technology such as the mouse and single-point touch-sensitive overlays are inadequate. Acceptable tabletop orientation control will be dependent on the maturation of newer technologies based on tangible interfaces or possibly multi-finger input. Until then, interaction techniques for manipulating documents on tabletop displays should be chosen according to their ability to concurrently control position and orientation, such as three degree-of-freedom input devices on digitizing tablets.;10.1.1.10.8401
Cluster Simulation -- Support for Distributed Development of Hard;Real-Time Systems Using
An Efficient Approach To Simultaneous Transistor And Interconnect Sizing;Jason Cong Lei He
An On-the-Fly Mark and Sweep Garbage Collector Based on Sliding Views;Hezi Azatchi  Yossi Levanoni Harel Paz Erez Petrank
A Data Cache with Dynamic Mapping;Paolo D&aposAlberto  Alexandru Nicolau  Alexander Veidenbaum Ru Nicolau Er Veidenbaum
UML Specification Based Fault Diagnosis in Embedded Systems;F. Matzke V. Vasyutynskyy K. Kabitzsch
 Tabling Abduction;Jos� J�lio Alferes Lu�s Moniz Pereira
Rational Rotation Numbers for Homeomorphisms with Two Break-Type Singularities;D. Khmelev
Resetting Vector Clocks in Distributed Systems;Li-Hsing Yen Ting-lu Huang
A Fast and Efficient Projection-Based Approach for Surface Reconstruction;M. Gopi  Shankar Krishnan
Tips for Building Knowledge Infrastructures;Knowledge Management Consists
Clique Graphs and Edge-clique graphs;Marcia Cerioli Universidade Marcia R. Cerioli
A Linear Programming based;Satisfiability Solver Using Hans Van Maaren Linda Van Norden
Safety Analysis And Integration For Robotic Systems -- Application to . . .;J. Guiochet B. Tondu C. Baron
The Reality Helmet: Transforming the Experience of Being-in-the-World;John Waterworth  Daniel F�llman
Content-Based Image Retrieval Using Wavelet-based Salient Points;Q. Tian  N. Sebe M. S. Lew E. Loupias T. S. Huang
Cognitive Euroscience: Scalar variability in price estimation and the cognitive consequences of switching to the Euro;Stanislas Dehaene (corresponding Stanislas Dehaene J. Frederico Marques J. Frederico Marques
Extracting Knowledge from Association Relationships to Build Navigational Models;Manoli Albert Vicente Pelechano Joan Fons Gonzalo Rojas Oscar Pastor
Augmenting Buildings with Infrared Information;Andreas Butz  J�rg Baus  Antonio Kr�ger
Linear Time Isotonic and Unimodal Regression in the L1 and L? Norms;Victor Boyarshinov Malik Magdon-Ismail
An Evaluation Study of Two-Button Scanning with Ambiguous Keyboards;Karin Harbusch  Michael K�hn
  The B method and the component-based approach;Dorian Petit   Vincent Poirriez Georges Mariano
Addressing Network Survivability Issues by Finding the K-best Paths through a Trellis Graph;Stavros D. Nikolopoulos Andreas Pitsillides  David Tipper
Discovering Frequent Itemsets in the Presence of Highly Frequent Items;Dennis P. Groth Edward L. Robertson
Prepared for;Aviation Human Factors
 The Benefits of Rapid Modelling for E-Business System Development;Juan C. Augusto Carla Ferreira Andy M. Gravell Michael A. Leuschel Muan Yong Ng
DSL: Accommodating Skip Lists in the SDDS Model;Panayiotis Bozanis  Yannis Manolopoulos
Local Decisions and Triggering Mechanisms for Adaptive Fault-Tolerance;Phillip Stanley-Marbell  Diana Marculescu
Submitted for publication, Apr 2004;Learning Transformation Rules Rohit J. Kate Yuk Wah Wong Ruifang Ge Raymond J. Mooney
Non-Bayesian Updating: A Theoretical Framework  ;Larry G. Epstein Alvaro Sandroni
Recent Results on Signature Forgery;Published In Rsa Robert D. Silverman David Naccache Gemplus Card International
Integrating Orthogonal Middleware Functionality In Components Using Interceptors;Christoph Pohl Steffen G�bel Technische Universit�t Dresden
One-Way Communication Complexity And The Neciporuk Lower Bound on Formula Size;Hartmut Klauck
IA-32 Execution Layer: a two-phase dynamic translator designed to support IA-32 applications on Itanium-based systems;Leonid Baraz Tevi Devor Orna Etzion Shalom Goldenberg Alex Skaletsky Yun Wang  Yigal Zemach.
An Assessment of Independent Living Deployment Readiness from Social, Political, Economic, and Technological Perspectives;Steve Huseth John Hajdukiewicz  Brian Isle Adventium Labs
Many is More: The Utility of Simple Reactive Agents with Predictive Mechanisms in Multiagent Object Collection Tasks;Matthias Scheutz  Paul Schermerhorn
Flexible Persistence Framework for Object-Oriented Middleware;Mathias Weske Dominik Kuropka
Energy-Efficient Protocols for Wireless Communication in Biosensor Networks;V. Shankar  A. Natarajan  S. K. S. Gupta  L. Schwiebert
Periodic Constraint Satisfaction Problems: Polynomial-Time Algorithms;Hubie Chen
Extracting Evolution of Web Communities from a Series of Web Archives;Masashi Toyoda  Masaru Kitsuregawa
A Low-bandwidth Network File System;Athicha Muthitacharoen Benjie Chen  David Mazieres
Comparing Notions of Full Derandomization;Lance Fortnow Nec Lance Fortnow
Volterra Filtering of Noisy Images of Curves;Jonas August
Modeling Jitter in Pll-based Frequency Synthesizers;Ken Kundert
Computing True Alternatives and not only a Single Best Solution;Ingo Alth�fer
Microfinance in Times of Crisis: The Effects of Competition, Rising Indebtedness, and Economic Crisis on Repayment Behaviour;Ulrike Vogelgesang Martin Hellwig Mark Schreiner Christopher Ksoll Joachim Winter
Supporting Access to Large Digital Oral History Archives;Samuel Gustman Dagobert Samuel Gustman Dagobert Soergel Douglas Oard William Byrne Michael Picheny Bhuvana Ramabhadran Douglas Greenberg
Optimal Data Selection for Unit Selection Synthesis;Alan W. Black   Kevin A. Lenzo
Adaptive Hard Disk Power Management on Personal Computers;Yung-Hsiang Lu Luyung
Evaluation Of;Early Morning Heating F. Portmann W. Wagner K. Scipal
Introducing Computer Systems from a Programmer&aposs  Perspective ;Randal E.  Bryant David R. O&aposHallaron
A spectral sequence for splines;Hal Schenck
An Approximate K�nig&aposs Theorem for Edge-Coloring Weighted Bipartite Graphs (Extended Abstract);Jos� R. Correa Michel X. Goemans
On Improving the Memory Access Patterns During the Execution of Strassen&aposs Matrix Multiplication Algorithm;Hossam ElGindy  George Ferizis
Exploiting FPGA Concurrency to Enhance JVM Performance;James Parnis
Context-Based Policy Search: Transfer of Experience Across Problems;Leonid Peshkin Edwin D. De Jong
Detecting patterns and OLAP operations in the GOLD model;Juan Trujillo  Manuel Palomar  Jaime Gomez
Gridding and Compression of Microarray Images;Stefano Lonardi And
A Simplification Architecture for Exploring Navigation Tradeoffs in Mobile VR;Carlos D. Correa Ivan Marsic
Joint Coding-Precoding with Low-Complexity Turbo-Decoding;Zhengdao Wang Shengli Zhou Georgios B. Giannakis
Towards Development of Correct Software using Views;Barbara Paech Bernhard Rumpe
USENIX Association;Hotos Ix The
Network Working Group T. Zseby Request for Comments: 3334 S. Zander Category: Experimental G. Carle Fraunhofer FOKUS October 2002 Policy-Based Accounting;Status Of This
Lower Bounds and Impossibility Results for Concurrent Self Composition;Yehuda Lindell
EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH CERN-NUFACT-113 A Self-focusing Mercury Jet Target;Colin Johnson
An Approach to Building an Integrated Information/information Technology Security . . .;Andrew Hughes
Robust Techniques For Watermarking Sequential Circuit Designs;Arlindo Oliveira
CHAPTER 10 CONCLUSIONS AND FUTURE WORK;
Program Fragments, Linking, and Modularization;Luca Cardelli Luca Cardelli
Automated Reassembly Of Fragmented Images;Anandabrata Pal Kulesh Abrata Pal Kulesh Shanmugasundaram Nasir Memon
Dyson. 2002.;Revmexaa Serie De K. J. Brooks G. Garay D. Mardones R. P. Norris
Published in Proceedings IHM&apos95, pp. 27-34, CEPAD ed.;De Observabilit Et Daniel Salber Jo�lle Coutaz
Numerical Solution of the Nonlinear Poisson-Boltzmann Equation: Developing More Robust and Efficient Methods;Michael J. Holst Faisal Saied
Asymptotic Solutions to the Whitham Equations;T Grava
Behavioural Equivalences for Dynamic Web Data;Sergio Maffeis  Philippa Gardner
 GeoOOA: Object-Oriented Analysis for Geographic Information Systems;Georg K�sters Bernd-Uwe Pagel Hans-Werner Six
Control Abstractions for Local Search;Pascal Van Hentenryck Laurent Michel
Weak Bisimulation is Sound and Complete for PCTL;Josee Desharnais Vineet Gupta  Prakash Panangaden  Radha Jagadeesan
Composing Mappings among Data Sources;Jayant Madhavan  Alon Y. Halevy
Hierarchical Flip Zooming: Enabling Parallel Exploration of Hierarchical Visualizations;Staffan Bj�rk
ThumbSense: Automatic Input Mode Sensing for;Touchpad-Based Interactions Jun
Towards a Multi-Lingual Workflow System -- a Practical Outlook;Bastin Tony Roy
FDP: Fault Detection Probability Function For Analog Circuits;Abdelhakim Khouas Anne Derieux
Hidden Markov models for modeling daily rainfall occurrence over Brazil;Andrew W. Robertson Sergey Kirshner Padhraic Smyth
special focus section making a MARK;Important Issue That Mahalingam Ramkumar
The World Wide and the Virtual . . . ;Jonathan Bowen
SEAL -- Tying Up Information Integration and Web Site Management by Ontologies;Alexander Maedche Steffen Staab Rudi Studer York Sure Raphael Volz
Ecography 25: 553 -- 557, 2002;Integrating The Statistical A. M. Liebhold J. Gurevitch
Fuzzy-Based Filtering of . . . ;Lazhar Khriji Mahmoud Meribout M. Gabbouj A. Al-Naamany
